
==============================================================================================================
                                BAI 10 - SELLER RANKING BY REVENUE AND ORDERS                                 
==============================================================================================================
Rank        Seller_ID                   Total_Revenue   Total_Orders  Total_Items_Sold  Avg_Revenue_Per_Item
        79  70a12e78e608ac31179aea7...        36465.44           315               328                111.18
        80  2528513dd95219a6013d4d0...        36438.75           161               167                 218.2
        81  1554a68530182680ad5c8b0...        35850.79           247               269                133.27
        82  7681ef142fd2c19048da743...        34857.93            59                77                 452.7
        83  70eea00b476a314817cefde...        34764.17           108               114                304.95
        84  5c243662ce92d84573bfaff...        34637.66            98               100                346.38
        85  001cca7ae9ae17fb1caed9d...        33934.17           200               239                141.98
        86  e59aa562b9f8076dd550fcd...        33803.97            70                84                402.43
        87  1900267e848ceeba8fa32d8...        33120.59           411               529                 62.61
        88  9f505651f4a6abe901a56cd...        32391.86           397               430                 75.33
        89  d1c281d3ae149232351cd8c...        32339.06           215               240                134.75
        90  0b90b6df587eb83608a64ea...        32207.64           164               210                153.37
        91  59b22a78efb79a479797961...        32082.07           125               133                241.22
        92  d23019c84ffae2d5ef22703...        31954.84            39                39                819.35
        93  a3a38f4affed601eb87a977...        31775.27           254               263                120.82
        94  8b321bb669392f5163d04c5...        31692.05           943              1018                 31.13
        95  900ba814c251a692506d783...        31467.94            88                88                357.59
        96  16090f2ca825584b5a147ab...        31173.11           402               410                 76.03
        97  d2374cbcbb3ca4ab1086534...         30817.8           524               631                 48.84
        98  12b9676b00f60f3b700e83a...        30342.69           135               135                224.76
        99  7e1fb0a3ebfb01ffb3a7dae...        30335.93           159               174                174.34
       100  897060da8b9a21f655304d5...        29887.47           317               430                 69.51
       101  c003204e1ab016dfa150abc...        29850.89           197               202                147.78
       102  b32be1695eb7ec5f10f72d9...        29831.02            45                46                 648.5
       103  de23c3b98a88888289c6f5c...        29081.81           164               181                160.67
       104  dc4a0fc896dc34b0d5bfec8...        28795.09           231               249                115.64
       105  a416b6a846a117243930256...        28670.52           162               181                 158.4
       106  710e3548e02bc1d2831dfc4...        27855.07           136               142                196.16
       107  1c68394e931a64f90ea236c...        27729.16           142               171                162.16
       108  1a3df491d1c4f1589fc2b93...        27594.12           167               178                155.02
       109  f62d7bb4a613ec758a03342...        26790.59            32                32                837.21
       110  b94cc9f10ddc85e4ba73a6f...        26368.49            39                39                676.12
       111  7ad32824caee82087b3e2e5...        26050.32           151               184                141.58
       112  8f2ce03f928b567e3d56181...        25550.01           153               175                 146.0
       113  729f06993dac8e860d4f02d...        25479.65            96               115                221.56
       114  f45122a9ab94eb4f3f89535...        25404.13           187               200                127.02
       115  612170e34b97004b3ba37ea...        25372.08           107               110                230.66
       116  b1b3948701c5c72445495bd...        25185.49            18                18               1399.19
       117  8444e55c1f13cd5c179851e...        24951.27            99               109                228.91
       118  2b3e4a2a3ea8e01938cabda...         24535.1            52                54                454.35
       119  b37c4c02bda3161a7546a4e...         24487.6             4                15               1632.51
       120  744dac408745240a2c2528f...        24385.02            79                84                 290.3
       121  06e5eefc71ec47ae763c5c6...        24381.84            92                95                256.65
       122  85d9eb9ddc5d00ca9336a22...        24029.58           509               522                 46.03
       123  40db9e9aa57f7bb151bcda6...        23823.99            12                12               1985.33
       124  05ff92fedb5be47920fea08...        23808.17            59                62                 384.0
       125  0dd184061fb0eaa7ca37932...        23766.42           161               193                123.14
       126  59fb871bf6f4522a87ba567...        23754.76           126               128                185.58
       127  ff69aa92bb6b1bf9b8b7a51...         23695.2            20                20               1184.76
       128  00ee68308b45bc5e2660cd8...        23440.66           135               172                136.28
       129  7b0df942f46435babab05d4...        23272.78            32                32                727.27
       130  004c9cd9d87a3c30c522c48...        23263.94           158               170                136.85
       131  f457c46070d02cadd8a6855...        22807.22           199               234                 97.47
       132  bfd27a966d91cfaafdb25d0...        22645.05           117               118                191.91
       133  48162d548f5b1b11b9d29d1...        22592.17            68                91                248.27
       134  dc317f341ab0e22f39acbd9...        22570.13            55                58                389.14
       135  44073f8b7e41514de3b7815...        21901.93           144               153                143.15
       136  128639473a139ac0f3e5f5a...        21694.45           533               560                 38.74
       137  0c8380b62e38e8a1e6adbeb...        21455.83           182               220                 97.53
       138  41b39e28db005d9731d9d48...        21042.91           195               231                 91.09
       139  cd68562d3f44870c08922d3...        20777.19           125               132                 157.4
       140  821fb029fc6e495ca4f08a3...        20740.25            28                29                715.18
       141  54a1852d1b8f10312c55e90...         20614.4           200               204                101.05
       142  7aa4334be125fcdd2ba64b3...        20603.33           217               240                 85.85
       143  86ccac0b835037332a596a3...         20588.6           180               210                 98.04
       144  fa40cc5b934574b62717c68...        20586.77           307               340                 60.55
       145  76d64c4aca3a7baf218bf93...        20455.29            64                69                296.45
       146  96493fab2fbb13a14d0c0e8...        20181.23            63                64                315.33
       147  d650b663c3b5f6fb392b632...        20153.04            60                60                335.88
       148  2a5b78b41cd05baeac8df54...        20132.83            49                60                335.55
       149  1e8b33f18b4f7598d87f5cb...         20011.3           123               140                142.94
       150  527801b552d0077ffd17087...        20005.36            90                92                217.45
       151  c33847515fa6305ce6feb1e...        19894.26           114               128                155.42
       152  4b9750c8ad28220fe6702d4...         19305.1           218               222                 86.96
       153  9de4643a8dbde634fe55621...        19282.41            72                81                238.05
       154  2a84855fd20af891be03bc5...        19270.61           164               168                114.71
       155  79ebd9a61bac3eaf882805e...        19105.14           136               143                 133.6
       156  165fc07beebdcb6190fba8a...        19081.43            50                64                298.15
       157  4c2b230173bb36f9b240f2b...        18989.84           261               346                 54.88
       158  a888faf2d1baececa6baf9c...        18887.32            54                55                343.41
       159  213b25e6f54661939f11710...        18839.96           155               194                 97.11
       160  c72de06d72748d1a0dfb212...        18733.18            21                22                851.51
       161  94144541854e298c2d976cb...        18715.65            68                76                246.26
       162  ef0ace09169ac090589d857...        18538.95           129               140                132.42
       163  4a3ccda38b2129705f3fb52...        18494.93            66                78                237.11
       164  0adac9fbd9a2b63cccaac4f...        18460.22           110               142                 130.0
       165  2138ccb85b11a4ec1e37afb...        18426.25           396               429                 42.95
       166  abe42c5d03695b4257b5c6c...        18158.23            50                50                363.16
       167  229c3efbfb0ea2058de4ccd...        18106.57           121               148                122.34
       168  1b4c3a6f53068f0b6944d2d...        17791.67           113               117                152.07
       169  8ae520247981aa06bc94abd...        17766.34            65                65                273.33
       170  01fdefa7697d26ad920e9e0...        17690.07           129               131                135.04
       171  66922902710d126a0e7d26b...        17581.07           151               156                 112.7
       172  d921b68bf747894be13a97a...        17403.81            77                77                226.02
       173  5cf13accae3222c70a9cac4...        17402.47           149               156                111.55
       174  ce248b21cb2adc36282ede3...        17296.95            65                66                262.07
       175  e5a38146df062edaf55c38a...        17254.59           121               125                138.04
       176  d94a40fd42351c259927028...        17220.94           101               110                156.55
       177  c3acdfac4e3e97ff8752945...        17057.28            12                12               1421.44
       178  6d66611d7c44cc30ce351ab...        16854.37           166               176                 95.76
       179  2e90cb1677d35cfe24eef47...        16782.16           127               137                 122.5
       180  669ae81880e08f269a64487...        16621.46           162               186                 89.36
       181  f9244d45189d3a3605499ab...        16607.42            21                21                790.83
       182  1f1bb1f0859883505541bdd...        16562.87            27                29                571.13
       183  3b15288545f8928d3e65a8f...        16513.69           104               121                136.48
       184  6061155addc1e54b4cfb51c...        16513.31            28                33                 500.4
       185  a673821011d0cec28146ea4...        16490.14           129               146                112.95
       186  75d34ebb1bd0bd7dde40dd5...        16479.51            62                72                228.88
       187  c847e075301870dd144a116...        16460.78            42                43                382.81
       188  a3e9a2c700480d9bb01fba0...        16323.89           130               144                113.36
       189  cfb1a033743668a192316f3...         16236.2           147               184                 88.24
       190  8e6d7754bc7e0f22c96d255...        16212.51            85               130                124.71
       191  87b740daf17b5d1be335a64...        16182.38            13                13                1244.8
       192  a5cba26a62b8b4d0145b68b...        16120.66            54                55                 293.1
       193  6edacfd9f9074789dad6d62...         16087.6           208               219                 73.46
       194  6039e27294dc75811c0d8a3...        16047.17            64                75                213.96
       195  1f9ab4708f3056ede07124a...        16043.51            78                79                203.08
       196  440dd6ab244315c632130ec...        15793.21            94                95                166.24
       197  ac3508719a1d8f5b7614b79...        15792.23           103               104                151.85
       198  701938c450705b8ae65fc92...        15792.12            75               112                 141.0
       199  05f51e13da97139648b8125...         15788.3            60                63                250.61
       200  530ec6109d11eaaf8799946...        15640.21            97               104                150.39
       201  289cdb325fb7e7f891c3860...        15639.29           110               126                124.12
       202  b8bc237ba3788b23da09c0f...        15621.16            45                47                332.37
       203  a7f13822ceb966b076af671...        15595.12            75                86                181.34
       204  c31eff8334d6b3047ed34be...        15586.05           122               123                126.72
       205  080199a181c46c657dc5aa2...        15544.88            79                83                187.29
       206  aba1721a889e04decc910aa...        15352.47            83                92                166.87
       207  431af27f296bc6519d890aa...        15250.85           117               125                122.01
       208  e2a1ac9bf33e5549a2a4f83...        15200.56             5                 5               3040.11
       209  c6bda72e4dbf5c5866b13cb...        15196.12            59                59                257.56
       210  48436dade18ac8b2bce089e...        15183.64           138               151                100.55
       211  cf8ab1616079e2793aa29d5...        15150.37             9                 9               1683.37
       212  2e1c9f22be269ef4643f826...        15122.37           167               173                 87.41
       213  0ea22c1cfbdc755f86b9b54...        15075.31           237               269                 56.04
       214  a6bd7d1ccdac48c6b33b285...        15046.63            16                16                940.41
       215  0b35c634521043bf4b47e21...        15008.74            51                78                192.42
       216  1ca7077d890b907f89be8c9...        15001.43           115               137                 109.5
       217  9e6229250fedbe05838fef4...        14986.65            74                78                192.14
       218  00fc707aaaad2d31347cf88...        14969.99           103               135                110.89
       219  ef506c96320abeedfb894c3...        14968.43           324               340                 44.02
       220  d50d79cb34e38265a8649c3...        14944.68            70                70                 213.5
       221  e26901d5ab434ce92fd9b5c...        14938.88           202               221                  67.6
       222  e8b3a3a38279a82f0e5d006...        14916.39            87                92                162.13
       223  ce7d1888639e6fb06b2749c...        14876.54            78                84                 177.1
       224  813348c996469b40f2e028d...        14800.43           179               202                 73.27
       225  2b1a40c1daabc6ca280c4b8...        14634.88            23                35                418.14
       226  d05ae8f7a5bd1d2a690a44c...        14595.43            78                81                180.19
       227  f08a5b9dd6767129688d001...        14565.74            11                18                809.21
       228  240b9776d844d3753566854...        14452.65            36                36                401.46
       229  610f72e407cdd7caaa2f816...        14429.45            16                17                848.79
       230  34d1ca11b242c0fee2c834a...        14404.28            40                41                351.32
       231  0be8ff43f22e456b4e0371b...        14384.65           161               180                 79.91
       232  8d956fec2e4337affcb520f...        14343.14           211               228                 62.91
       233  d6b1ce66b035a475f00c017...        14315.88            92               108                132.55
       234  cab85505710c7cb9b720bce...        14295.24           206               209                  68.4
       235  99eaacc9e6046db1c82b163...        14274.52            66                70                203.92
       236  95e03ca3d4146e401198598...         14243.5           175               193                  73.8
       237  80e6699fe29150b372a0c8a...         14154.9            98               100                141.55
       238  ad97a199236354e53fcd91a...         14074.7            17                18                781.93
       239  ff063b022a9a0aab91bad2c...        14061.27            94                96                146.47
       240  e24fc9fcd865784fb257056...        13966.71            52                56                249.41
       241  7202e2ba20579a9bd1acb29...        13916.16            53                55                253.02
       242  5a8e7d5003a1f221f9e1d6e...        13866.19           139               181                 76.61
       243  8cc6a0e5738e61a87b03c78...        13838.22            24                26                532.24
       244  b372ee768ed69e46ca8cdbd...        13813.84            63                69                 200.2
       245  6cd68b3ed6d59aaa9fece55...        13718.46           149               157                 87.38
       246  adbc26658d6c7b4b6219f9d...        13692.25            88                92                148.83
       247  c66dccfb3f109511246da62...        13682.25            45                45                304.05
       248  c8b0e2b0a7095e5d8219575...        13657.34            84                85                160.67
       249  c60b801f2d52c7f7f91de00...        13652.89            41                41                 333.0
       250  056b4ada5bbc2c50cc78425...        13639.41            65                66                206.66
       251  5d378b73ab7dd6f0418d743...        13636.28             7                 7               1948.04
       252  6e386f64c84e482f0b9abf9...        13563.66            30                30                452.12
       253  70c27847eca8195c983ed7e...        13529.18            77                98                138.05
       254  1d8dbc4f32378d715c717c1...        13421.05            92                98                136.95
       255  25e6ffe976bd75618accfe1...        13396.85           108               117                 114.5
       256  ed4acab38528488b65a9a9c...        13369.76            32                40                334.24
       257  09f952a5f58d2285b037255...        13346.46            50                56                238.33
       258  039e6ad9dae79614493083e...        13273.42             5                 5               2654.68
       259  c510bc1718f0f2961eaa42a...        13211.87            13                13                1016.3
       260  ca3bd7cd9f149df75950150...        13171.37            71               138                 95.44
       261  54965bbe3e4f07ae045b90b...        13164.84            78                86                153.08
       262  23d7c96d4a1160db1c726b2...        13146.52            53                55                239.03
       263  d1b65fc7debc3361ea86b5f...         13141.8            40                41                320.53
       264  562fc2f2c2863ab7e79a9e4...        13119.34           260               270                 48.59
       265  8b8cfc8305aa441e4239358...         13110.7            15                15                874.05
       266  5058e8c1e82653974541e83...        13077.93            63                78                167.67
       267  1da3aeb70d7989d1e6d9b0e...        13055.36           265               328                  39.8
       268  ce27a3cc3c8cc1ea79d11e5...        13011.87           135               164                 79.34
       269  f262cbc1c910c83959f8494...        12989.85           192               207                 62.75
       270  66e0557ecc2b4dbea057e93...        12977.99            31                31                418.64
       271  4830e40640734fc1c52cd21...        12970.02           210               219                 59.22
       272  7040e82f899a04d1b434b79...        12955.98           212               228                 56.82
       273  b499c00f28f4b7069ff6550...        12905.08           152               187                 69.01
       274  b4f8921fcc4ff77b66bea6d...        12863.41            18                20                643.17
       275  dd2bdf855a9172734fbc374...        12853.88           108               113                113.75
       276  ccb83a794700270fde70898...        12785.73            12                12               1065.48
       277  c9c7905cffc4ef9ff9f1135...        12766.71           127               139                 91.85
       278  fbc14c0cf93505ef89f6466...        12758.93            18                18                708.83
       279  f3b80352b986ab4d1057a4b...        12692.73            87                92                137.96
       280  7ea5bfa6c340f58f8e71fc1...        12663.88            98               104                121.77
       281  d71d863e5ef30d94e440c11...        12655.65            29                36                351.55
       282  72c5da29406b4234927b818...        12652.47            31                31                408.14
       283  1c129092bf23f28a5930387...        12589.29           201               220                 57.22
       284  c4f7fee5b0db50e87766f5a...         12533.6             8                 9               1392.62
       285  7901646fdd36a55f564ffaf...        12478.83            22                27                462.18
       286  82e0a475a88cc9595229d80...        12415.92            42                80                 155.2
       287  5343d0649eca2a983820bfe...        12393.23            71               111                111.65
       288  6973a06f484aacf400ece21...        12374.62            95               115                107.61
       289  c864036feaab8c1659f65ea...        12299.77            58                58                212.07
       290  33a6f4b1e7cdc205511e76b...        12183.91           105               126                  96.7
       291  17ca9b9e9b9ef8fdb529001...        12120.72           116               129                 93.96
       292  f80edd2c5aaa505cc4b0a3b...        12108.94           119               128                  94.6
       293  dd7ddc04e1b6c2c614352b3...         12072.0           122               143                 84.42
       294  4e7c18b98d84e05cbae3ff0...        12053.88            82                89                135.44
       295  c4d51195486dc781531876a...        12038.35            17                17                708.14
       296  bba3293d6f5d5af2f415e00...        12028.79            17                17                707.58
       297  bd23da7354813347129d751...        12011.13            89                90                133.46
       298  9d5a9018aee56acb367ba9c...        11982.21            67                79                151.67
       299  8b28d096634035667e8263d...        11967.15           143               155                 77.21
       300  31344c16881c08a8a72c6d2...        11912.62            43                43                277.04
       301  fffd5413c0700ac820c7069...        11896.04            60                61                195.02
       302  32b8764b4ef628b53608fc3...        11854.42            36                38                311.96
       303  01cf7e3d21494c41fb86034...        11738.18            61                67                 175.2
       304  aaed1309374718fdd995ee4...        11708.02           105               112                104.54
       305  aafe36600ce604f205b86b5...         11673.2           129               131                 89.11
       306  9b013e03b2ab786505a1d3b...        11631.61           174               225                  51.7
       307  36a968b544695394e4e9d75...        11628.87           154               162                 71.78
       308  3db66a856d18a9cba7c9241...        11522.66            94                97                118.79
       309  0df3984f9dfb3d49ac6366a...        11520.21            87                89                129.44
       310  9d4db00d65d7760644ac0c1...        11512.81            98               100                115.13
       311  92eb0f42c21942b6552362b...        11492.67           341               365                 31.49
       312  6c7d50c24b3ccd2fd83b44d...        11470.19           114               128                 89.61
       313  5656537e588803a555b8eb4...        11442.96           174               188                 60.87
       314  cbd996ad3c1b7dc71fd0e5f...        11284.96           165               196                 57.58
       315  259f7b5e6e482c230e5bfaa...        11265.25           138               165                 68.27
       316  81a1104df0f08b59c68aa5b...        11235.27            73                73                153.91
       317  ea566164622c6b439516ab1...        11167.98            50                52                214.77
       318  066a6914e1ebf3ea95a216c...        11115.95            68                74                150.22
       319  e5a3438891c0bfdb9394643...        11112.62           224               255                 43.58
       320  0db783cfcd3b73998abc6e1...        11076.55           132               137                 80.85
       321  7b07b3c7487f0ea825fc6df...        11074.64            93                98                113.01
       322  1c5e4e49b9079480255b49d...        11062.72            12                12                921.89
       323  624f4ece8da4aafb7769923...        10927.37            53                55                198.68
       324  06532f10282704ef4c69168...        10918.74             8                 9               1213.19
       325  18a349e75d307f4b4cc646a...        10909.56           121               148                 73.71
       326  7008613ea464bad5cb9b834...        10860.05           127               156                 69.62
       327  73a63f72308aa20a46f4b16...        10785.79            29                41                263.07
       328  054694fa03fe82cec4b7551...        10703.75            21                22                486.53
       329  5882820ef11c4c068eea067...        10664.81            14                14                761.77
       330  b92e3c8f9738272ff7c59e1...         10645.3            62                70                152.08
       331  cb8bcce248bb1fb274ba762...        10635.02            68                69                154.13
       332  9596c870880d900012f2e8e...        10615.33            22                24                442.31
       333  17306570e772e7718c92a56...        10600.63            29                32                331.27
       334  a49928bcdf77c55c6d6e05e...        10574.25            98               106                 99.76
       335  7b1222c3624aa89b9558b50...        10561.09            22                22                480.05
       336  048c2757535328e0d7dac69...        10551.06            51                51                206.88
       337  f27e33c6d29b5138fa9967b...        10482.25            93                98                106.96
       338  5b8154610ebb21fb90eb587...        10474.98            38                41                255.49
       339  0bae85eb84b9fb3bd773911...         10406.4           137               146                 71.28
       340  b2ac621f0d0322434d04a12...        10356.89            30                30                345.23
       341  e96498ed8daaa3e9c23f7a6...        10332.19            34                34                303.89
       342  febab0275244b9a49a623f0...        10289.17           109               129                 79.76
       343  8e8a7ce9f2f970dc00e2acf...        10284.82            65                66                155.83
       344  b1a81260566c1bac3114a6d...         10250.2            51                54                189.82
       345  972d0f9cf61b499a4812cf0...        10240.59            83                88                116.37
       346  d98eec89afa3380e14463da...        10225.31           168               183                 55.88
       347  b1fc4f64df5a0e8b6913ab3...        10140.99           107               121                 83.81
       348  5f2684dab12e59f83bef73a...        10123.06            68                74                 136.8
       349  3c487ae8f8d7542beff5788...        10105.35            30                33                306.22
       350  961dff0a659b45613343723...        10082.56             4                 4               2520.64
       351  05feb94f19d094d4b0f9281...        10050.04             6                 6               1675.01
       352  640e21a7d01df7614a3b492...        10045.12           116               137                 73.32
       353  e7df4cd29ab5abab70fb078...        10022.07            23                24                417.59
       354  7a241947449cc45dbfda4f9...         10018.1            62                72                139.14
       355  270297ead4c65a6cd259396...          9968.5            18                20                498.43
       356  6d803cb79cc31c41c4c789a...         9925.07            58                66                150.38
       357  7d456afc660226829370f31...         9857.87            56                91                108.33
       358  2dee2ce60de9709b1a24083...         9844.56            54                55                178.99
       359  a00824eb9093d40e589b940...         9779.46             3                 3               3259.82
       360  3078096983cf766a32a0625...          9700.9            59                64                151.58
       361  4371b634e0efc0e22b09b52...         9678.79           102               112                 86.42
       362  ebd2d60905fb58271facef5...         9675.02            84                88                109.94
       363  d03698c2efd04a549382afa...         9644.62            18                21                459.27
       364  6c12e40690c335dbc2f68a4...         9624.26            16                18                534.68
       365  06df0c10d34e459d9672bc7...         9595.77            26                30                319.86
       366  db2956745b3a8e9f3785c99...         9574.27            47                48                199.46
       367  2089a6d640999f9b9141ac7...         9525.94            44                44                 216.5
       368  8a432f4e5b471f8da497d7d...         9520.11            95               106                 89.81
       369  aac29b1b99776be73c30499...         9465.52            98               138                 68.59
       370  33a17d60c64393351ebf1ef...         9431.86            43                47                200.68
       371  37515688008a7a40ac93e3b...          9417.7           228               240                 39.24
       372  750303a20e9c56b2a6bc45c...         9394.81            54                57                164.82
       373  6c177e38df6d3f34182b1f1...         9376.53            55                56                167.44
       374  af4a0e4cfe1d9c26b6712b1...          9351.6            21                26                359.68
       375  fdb9095204a334cd8872252...         9289.37            46                61                152.28
       376  609e1a9a6c2539919b8205c...         9282.42            87               130                  71.4
       377  ad781527c93d00d89a11eec...         9279.26            44                44                210.89
       378  a2e874074c877c5a05abae8...          9274.8            44                46                201.63
       379  fcb5ace8bcc92f75707dc0f...         9273.33            62                73                127.03
       380  b18dc380845b24038cfc480...         9248.93            44                54                171.28
       381  93dc87703c046b603023e75...         9206.29            35                36                255.73
       382  4bfc7a4a1cf8d4d2121c274...         9191.59            26                40                229.79
       383  b4ffb71f0cb1b1c3d63fad0...         9176.07           144               165                 55.61
       384  725c32fa80c2faacc4fc884...         9166.66            89                93                 98.57
       385  7722b1df1b0e383e000397b...          9165.3           134               145                 63.21
       386  403aa86912527d730337ffc...         9164.51            11                11                833.14
       387  bd0389da23d89b726abf911...         9128.47            87                90                101.43
       388  8e6cc767478edae941d9bd9...         9115.41           106               114                 79.96
       389  903037660cf848a717166eb...         9083.28            45                60                151.39
       390  08633c14ef2db992c11f840...         9068.82            74                97                 93.49
       391  52d76513f0c4d97f3b99570...         9042.36            19                28                322.94
       392  0432ead42b6c8a0bdf68154...         8999.62            85                90                 100.0
       393  8648b1e89e9b349e32d3741...         8946.05            95               103                 86.85
       394  26d8a1c7c75d51304579899...         8945.78            36                38                235.42
       395  784ba75dd9d20200c4caed3...         8924.95            21                24                371.87
       396  989becdce12ebc39863c2bc...         8893.33            18                18                494.07
       397  6fd52c528dcb38be2eea044...         8881.58            67                84                105.73
       398  257e61d3251fb5efb9daadd...         8806.18            12                12                733.85
       399  5d0363b33554b373851fc16...         8802.97            94                95                 92.66
       400  5b925e1d006e9476d738aa2...         8801.84            63                63                139.71
       401  4e17c65a516f69d023a2ae7...          8794.8            61                74                118.85
       402  8a32e327fe2c1b3511609d8...         8792.04           132               180                 48.84
       403  dbb9b48c841a0e39e21f98e...         8768.26           108               118                 74.31
       404  b410bdd36d5db7a65dcd42b...         8733.61            44                44                198.49
       405  062ce95fa2ad4dfaedfc792...         8721.44            55                60                145.36
       406  e333046ce6517bd8bb51029...         8699.32            68                74                117.56
       407  1da366cade6d8276e7d8bee...         8673.73            43                49                177.01
       408  1127b7f2594683f2510f1c2...         8673.04           114               132                  65.7
